SUB_DISTRICT,2017-10-20,2018-10-20
Alwar,5.048089305794427,7.356915261907075
Bansur,4.019656437713474,5.546261804113434
Behror,3.6806530330760454,4.938528155751835
Kathumar,2.590861200003147,2.6678997979289707
Kishangarh bas,4.52664388775963,5.9809651728796105
Kotkasim,3.5102475123581534,4.720292403449216
Lachhmangarh,3.6393622725111543,4.269959838544883
Mandawar,4.039992691620875,5.172843166320785
Rajgarh,4.93724813370529,7.034292984974815
Ramgarh,4.15632404978737,5.430157464218573
Thanagazi,4.757382320371245,6.744792123627934
Tijara,4.265282734270657,5.570525919590357
