SUB_DISTRICT,2017-11-09,2018-11-09
Amreli,10.85235405915082,6.3057006857246805
Babra,9.237537023851687,6.316528748778385
Bagasara,9.559294165196942,6.535891877327065
Dhari,7.498125143323963,7.050442871065757
Jafrabad,9.812329274955133,7.399177918260103
Khambha,9.124274470980502,8.18898023647362
Kunkavav vadia,9.74427670566929,7.452599247573612
Lathi,10.560069650473915,5.487197609143411
Lilia,11.16609612028461,6.139417268192947
Rajula,9.690366493259058,7.097138951550929
Savar kundla,9.442048381696818,6.374887261969021
