SUB_DISTRICT,2017-10-20,2018-10-20
Asind,5.9179539220635204,8.162996551583323
Banera,6.547826970242105,8.124825919132252
Beejoliya,5.799106821742758,6.480371031752233
Bhilwara,7.420713613966167,9.093297175112976
Hurda,5.661467071896304,6.869535551869717
Jahazpur,5.406657534048519,6.9319806696932025
Kotri,7.074078122569441,8.488804197479993
Mandal,7.050033883354341,8.749752514692188
Mandalgarh,6.428071808927995,7.459870066013164
Raipur,7.408286726143257,9.110883827143777
Sahara,8.294583680880729,9.82205523218173
Shahpura,5.880719012373089,6.995671453893468
