SUB_DISTRICT,2017-09-26,2018-09-26
Amber,0.7762139988426916,1.2267391989366514
Bassi,0.6460438342653235,1.1489721649864373
Chaksu,0.6180913358962393,1.0422872099928873
Chomu,0.7835299928653743,1.1494750129260904
Jaipur,0.7384728410275855,1.0795437956204395
Jamwa ramgarh,0.7176612879160881,1.3721786737388644
Kotputli,0.6257664667849999,1.1283450143554377
Mauzamabad,0.5202981248543888,0.8020976645251465
Phagi,0.5718612065834459,0.962930005707466
Phulera (sambhar),0.6272826034571402,0.9160475035342504
Sanganer,0.6530953283532172,1.1151071468391138
Shahpura,0.669121982530916,1.2597427163233506
Viratnagar,0.7604073174359233,1.3889471022755453
