SUB_DISTRICT,2017-09-22,2018-09-22
Bejjanki,1.4514389232695837,1.5382124200091596
Boinypalle,1.1250091971968756,1.3831803458146028
Chandurthy,1.8174542348059568,2.116978276787896
Chigurumamidi,1.6361641316730953,1.5160813862850526
Choppadandi,2.011026004119466,2.213061598867149
Gambhiraopet,1.6901829614220887,2.0657851503403935
Gangadhara,1.4507782568969108,1.7165755627868706
Karimnagar,1.5588587108175984,1.642730443679659
Konaraopeta,1.8640902265738557,1.8242064158347453
Manakondur,2.0378754095908547,2.2276750197491753
Ramadugu,1.695689045415698,1.6410030650437668
Saidapur,2.076286697767733,1.6334379959738103
Shankarapatnam,2.334767693082907,2.318728817654084
Sircilla,1.3203328927637457,1.5381961706823173
Thimmapur,1.3591937432867893,1.6387580558539212
Veenavanka,1.9316043193212498,1.8540435788661789
Vemulawala,1.2739670268675516,1.3722633650196776
Yellareddipet,2.0032638977038157,2.1153734893074048
