SUB_DISTRICT,2017-11-09,2018-11-09
Bonakal,12.996838495338123,12.209700384279738
Chinthakani,10.826337760910818,8.993483328815397
Enkuru,21.840450692638772,17.31713503640699
Julurpad,30.288015814735303,22.371573683431667
Kallur,12.387425848643298,11.627396427943275
Kamepalle,12.81887966030268,11.041469959084825
Khammam (Rural),11.358145576958005,10.247866351915748
Khammam (Urban),12.23248063638266,11.115938873770146
Konijerla,13.709871832282099,12.071988657194375
Kusumanchi,10.889536504031435,10.281787866265601
Madhira,14.333597270139327,11.97723545048358
Mudigonda,13.074606882669599,10.518208511463426
Nelakondapalle,12.253701425903147,11.654264042640422
Penuhalli,13.712273795355372,12.262748329213592
Sathupalle,13.994083134117849,14.275887529882331
Singarem,16.059568680073085,12.832871542868665
Tallada,12.310862051784996,11.082848646635863
Thirumalayapalem,11.399496261577026,9.735866759519121
Vemsoor,10.891786106061152,9.919143435425477
Wyra,11.108258027552802,11.82354358186411
Yerrupalem,18.110198024831146,15.861723665019515
