SUB_DISTRICT,2017-10-04,2018-10-04
A.Konduru,12.951930817397846,19.696521106188943
Agiripalle,5.586161335679116,15.57426288233675
Avanigadda,7.487527088459097,22.037361706287783
Bantumilli,13.275816479938355,23.01550990805866
Bapulapadu,12.331926271725093,21.767773467464455
Challapalle,6.933396890583752,18.87931944851865
Chandarlapadu,9.152079914670162,17.72676813258943
Chatrai,11.612666368322481,14.742127028326127
G.Konduru,8.826389100950573,18.72447880086027
Gampalagudem,15.568031698106369,17.572293171216018
Gannavaram,14.623765263743447,18.127840095916532
Ghantasala,9.871426276903314,21.829523146660964
Gudivada,11.39150586366397,19.426005700135487
Gudlavalleru,20.377884835971564,27.831582167163724
Guduru,14.922654336899097,28.224110710143083
Ibrahimpatnam,8.037439482908898,20.65142155521768
Jaggayyapeta,12.803555610569344,15.917097643905134
Kaikalur,5.080063396730064,7.2114114114114125
Kalidindi,4.6369712769745,6.964460854685156
Kanchikacherla,6.328453638073195,15.585100535223487
Kankipadu,15.140288089233072,21.069393627224603
Koduru,8.255193212433152,20.9846153846154
Kruthivennu,5.489021231399497,8.952882333177994
Machilipatnam,7.756770397569265,15.316426110785558
Mandavalli,8.586042779573077,9.330794257952467
Mopidevi,6.491706683113796,19.34962993964492
Movva,12.966416261599639,25.02457067975071
Mudinepalle,14.042727574576654,18.593211354408783
Musunuru,6.724412487005944,14.30015025443388
Mylavaram,7.980236941592776,15.822293805423957
Nagayalanka,5.492241466334021,16.491866518610383
Nandigama,15.445930279273187,19.735075012339454
Nandivada,5.779632154995162,9.687070311671981
Nuzvid,4.600186882716611,14.315382693066875
Pamarru,20.98610133559466,25.887852448590213
Pamidimukkala,11.085368538583717,20.72805831197219
Pedana,14.999528827208108,29.921863845341136
Pedaparupudi,21.329139905328706,25.18713295229117
Penamaluru,10.4183520705045,17.25776792271624
Penuganchiprolu,14.637143851912032,19.463587303429467
Reddigudem,10.211932805795625,18.08822885898699
Thotlavalluru,4.950356142951251,15.485105813570488
Tiruvuru,16.221394487497182,22.076668928907758
Unguturu,14.7896503457545,27.965215635206388
Vatsavai,12.7741809156656,16.04129242912799
Veerullapadu,16.525309565612165,22.662829427378895
Vijayawada (Rural),10.66010547994768,20.985047730372116
Vijayawada (Urban),10.3705713020372,13.688662533215233
Vissannapet,11.013502344845827,16.384526378925198
Vuyyuru,11.288570546464955,23.05990737882062
