SUB_DISTRICT,2017-10-20,2018-10-20
Anumula,17.928673734328303,12.703877621760197
Chandam Pet,15.572016701820852,7.786111661142447
Chandur,24.577625570776263,9.299235252626502
Chintha Palle,17.049580993119513,8.478239135635405
Chityala,18.101752186601026,10.314783373945097
Dameracherla,16.343289689034357,11.584102882674078
Devarakonda,15.777784315193797,7.814872859144836
Gundla Palle,14.591976831884717,10.303177195076405
Gurrampode,20.604385164918686,10.11936654506764
Kangal,19.905953513431612,13.384515982388644
Kattangaur,14.989322211080998,10.285569517632748
Kethe Palle,16.562317745899865,13.991295141748033
Marriguda,16.487544234609864,7.124956203356579
Miryalaguda,17.762494190862995,20.026885696389265
Munugode,22.34014923003652,9.79003016351802
Nakrekal,15.572976249910852,11.720169745381932
Nalgonda,17.552345571537987,11.247095661797701
Nampalle,18.64832222045201,8.711819879797844
Narayanapur,17.33853194363245,9.601903110698954
Narketpalle,16.437194220981784,10.083968149729108
Nidamanoor,18.443960184142774,17.104314127644074
Pedda Adiserla Palle,16.065006839309635,11.844011465645178
Peddavoora,16.33566951742876,10.5966769344768
Sali Gouraram,16.147182190448184,13.442175516391037
Thipparthi,16.534223803438895,10.559333817537784
Thripuraram,17.70478565253674,18.769067404894088
Vemulapalle,17.14717902350814,15.53379746835443
