SUB_DISTRICT,2017-09-26,2018-09-26
Bhainsa,1.8548288296569904,1.5608658591109072
Dilawarpur,1.738220355101081,1.678620095543895
Kaddam (Peddur),2.1564635309630864,2.4216727571139005
Khanapur,2.667682874952498,2.931670343922697
Kubeer,2.3725627412313988,1.9894378992432298
Kuntala,1.9501756621543387,1.8020778836187747
Laxmanchanda,1.5895046051417192,1.8199131801892983
Lokeswaram,1.613204700893905,1.7332415986300955
Mamda,2.265366627745205,2.1753093014011733
Mudhole,1.6406790658141037,1.7866289047419766
Nirmal,1.485049790965796,1.6402890821615546
Sarangapur,1.6582684930188933,1.7725165257617488
Tanoor,1.9216730620299198,1.9209064935178604
