SUB_DISTRICT,2017-11-09,2018-11-09
Bantwaram,12.885843861354061,7.561987219130077
Basheerabad,13.634828608705982,8.688957419048752
Chevella,9.374180764034962,5.412411178517296
Dharur,11.472384205820743,8.337403310247891
Gandeed,10.598559756501928,6.47396679107967
Kulkacharla,11.816497873092722,7.779923727193025
Marpalle,11.843255325545618,7.563634224664171
Moinabad,9.20646806960007,5.547235127994895
Mominpet,10.716657512929656,6.952389125360426
Nawabpet,10.069409353101017,6.3239057743515
Pargi,10.05678799349376,7.522512199204316
Peddemul,12.821356107781412,7.885664326132591
Pudur,11.34580853019662,7.116217012200023
Shabad,10.325467037385975,6.068342563018452
Shankarpalle,8.878960026538406,6.179600680046448
Tandur,13.968348000531527,8.111489281443028
Vicarabad,10.300124713483168,7.337679871548928
Yelal,11.78353645931432,8.22299144160492
doma,10.92029679428299,7.363742370054786
