SUB_DISTRICT,2017-10-20,2018-10-20
Atmakur,11.545833254792559,13.956620359025585
Chennaraopet,13.624734867025621,15.64926515807573
Duggondi,10.915608208901187,13.396708039451385
Geesugonda,9.123437001215759,12.807203548117615
Hasanparthy,10.704226638654363,14.118956585283103
Khanapur,20.411066362592397,22.032768855030984
Nallabelly,14.266026480224747,15.636190584022705
Narsampet,10.58477275570396,15.848795696648343
Nekkonda,16.099158074440712,15.719253750591069
Parkal,16.962642609299117,13.98902984038862
Parvathagiri,16.15027531263811,13.867921598604923
Sangam,10.04963685839086,13.584050074300924
Shayampet,16.653349449194472,15.65644012524944
Warangal,8.520071033286527,11.971380193276612
Wardhannapet,15.133773845579562,12.232519655646161
