SUB_DISTRICT,2017-09-26,2018-09-26
Alwar,0.4649839438028232,0.600444182328584
Bansur,0.3965607748143134,0.5545190079821519
Behror,0.3358236293854323,0.5204024212028121
Kathumar,0.2644332550027253,0.3465755750610514
Kishangarh bas,0.3932907628066337,0.5326358608027332
Kotkasim,0.3191812370406025,0.4871762851710929
Lachhmangarh,0.3438426771893433,0.4497329720524063
Mandawar,0.3517638130516132,0.5052749451968717
Rajgarh,0.45236213964106997,0.6109847555736492
Ramgarh,0.3562731638361934,0.4934254346967501
Thanagazi,0.4538706444979161,0.6159314690562316
Tijara,0.40930896890333895,0.5529813924924784
