SUB_DISTRICT,2017-09-30,2018-09-30
Amreli,0.747472672967716,0.6346254423211316
Babra,0.7378607231110044,0.6391916033266819
Bagasara,0.7521453865175749,0.666201184413094
Dhari,0.7203378305030839,0.6217846924245376
Jafrabad,0.690761621995612,0.572541083628164
Khambha,0.7470515546755541,0.6411380515106586
Kunkavav vadia,0.7846936950592777,0.7402675136927133
Lathi,0.7388295034863941,0.5795054973245134
Lilia,0.7479650177234746,0.5936598271357216
Rajula,0.6782824028528882,0.578097408153903
Savar kundla,0.7219487574673719,0.6019028754039347
