SUB_DISTRICT,2017-11-05,2018-11-05
Asind,0.388467363958929,0.4045840868177906
Banera,0.42194081241761466,0.39777097257522087
Beejoliya,0.361831241078443,0.34561899821259023
Bhilwara,0.45288922739909154,0.422975220476052
Hurda,0.37791876811859176,0.3586396420550057
Jahazpur,0.3630821321363748,0.3596648342132906
Kotri,0.4390934063704513,0.4076154934579456
Mandal,0.42078988985275506,0.41545797489071673
Mandalgarh,0.40627572937489864,0.37930681705570346
Raipur,0.42860390587309677,0.4210074462882
Sahara,0.44131024879514796,0.43974680758921086
Shahpura,0.38576404978437995,0.36929353226957007
