SUB_DISTRICT,2017-10-24,2018-10-24
Amber,0.32232707304840996,0.37538955081113534
Bassi,0.3051350346471231,0.3713539832102934
Chaksu,0.2702303549406594,0.3208312555930264
Chomu,0.3092456870487531,0.35974714215901393
Jaipur,0.29853455163297316,0.33388376328159
Jamwa ramgarh,0.32075012222156213,0.4080360004352218
Kotputli,0.268215449902821,0.3292161534570629
Mauzamabad,0.26971830383790185,0.3021190412075568
Phagi,0.2614393722569783,0.29707462417667296
Phulera (sambhar),0.26899399957823444,0.31529386909672574
Sanganer,0.28974403520039543,0.3382282473356078
Shahpura,0.3088206913655776,0.377391879848877
Viratnagar,0.3160557364945067,0.40346586615422925
