SUB_DISTRICT,2017-11-05
Bejjanki,0.5704516030659081
Boinypalle,0.6220495874422124
Chandurthy,0.6403605556154631
Chigurumamidi,0.5752045795885525
Choppadandi,0.5607381138355596
Gambhiraopet,0.5940096975865982
Gangadhara,0.5907385201044645
Karimnagar,0.4907596321575041
Konaraopeta,0.6229292470429887
Manakondur,0.45194849534741793
Ramadugu,0.6131990570416633
Saidapur,0.6007277752867516
Shankarapatnam,0.4489059332559168
Sircilla,0.5186286029232914
Thimmapur,0.5317742264174483
Veenavanka,0.46241890860077584
Vemulawala,0.6179704838771776
Yellareddipet,0.6236981601810195
