SUB_DISTRICT,2017-11-05,2018-11-05
Bonakal,0.733834031014831,0.2515908254004373
Chinthakani,0.6773772568025724,0.2769918748395965
Enkuru,0.7875047734349075,0.412782906271743
Julurpad,0.7980624153987859,0.3902485001920546
Kallur,0.7145036041801366,0.32904444882484385
Kamepalle,0.7090486258046395,0.311401102266719
Khammam (Rural),0.6882076880620767,0.1875273796152345
Khammam (Urban),0.6609974547845111,0.2505943454591869
Konijerla,0.7278548058785177,0.3346902330586646
Kusumanchi,0.6672323485746285,0.1635096662352557
Madhira,0.7547809493096663,0.22724785097024888
Mudigonda,0.7391853308782511,0.2505371692866531
Nelakondapalle,0.7404673586591307,0.2823459094909746
Penuhalli,0.7036391959397394,0.33171331294654505
Sathupalle,0.6951069584861935,0.3018198179232876
Singarem,0.7298541123342057,0.34745578322001286
Tallada,0.7103777987569374,0.3376707930365301
Thirumalayapalem,0.6976586623618751,0.10840754244053938
Vemsoor,0.6975487036965563,0.3241472219000716
Wyra,0.6692670814144194,0.3181514531807807
Yerrupalem,0.7743473533634173,0.23962744421467297
