SUB_DISTRICT,2017-10-24,2018-10-24
Asifabad,0.7813138526537005,0.7000117734744178
Bejjur,0.8030311720637447,0.7274939853771764
Bellampalle,0.7638167752657629,0.6986331033789701
Bhimini,0.7706318220301674,0.6853747241141864
Chennur,0.7644129521450512,0.7222937261305068
Dahegaon,0.7794433747620699,0.6815103134355656
Dandepalle,0.8206105774471981,0.8042002432169101
Jaipur,0.7596806217924861,0.7196689336052327
Jannaram,0.7940163257628728,0.7751992007187554
Kagaznagar,0.7836018857672928,0.7153115852901808
Kasipet,0.7912475196991714,0.7318053515157842
Kerameri,0.7908404002343169,0.7048295764344504
Kotapalle,0.7820948261297813,0.7197909772264217
Kouthala,0.7817850972656479,0.7176321949602796
Luxettipet,0.8158875665342885,0.7884045380914683
Mancherial,0.7580236549980189,0.6977941114600611
Mandamarri,0.7575960380370987,0.6928224143700769
Nennal,0.7690005541271568,0.7168917903256496
Rebbana,0.7562317882698788,0.6840623623775902
Sirpur,0.7778835561660743,0.7020953377566505
Tandur,0.7929049571626114,0.7276234368104276
Tiryani,0.7825832869841776,0.7373660186708351
Vemanpalle,0.781873376852164,0.7179818469882411
Wankdi,0.7834308895831091,0.7119056681801281
