SUB_DISTRICT,2017-09-06,2018-09-06
A.Konduru,0.339,0.331
Agiripalle,0.256,0.324
Avanigadda,0.161,0.185
Bantumilli,0.234,0.285
Bapulapadu,0.244,0.301
Challapalle,0.121,0.237
Chandarlapadu,0.278,0.341
Chatrai,0.312,0.28
G.Konduru,0.306,0.304
Gampalagudem,0.305,0.271
Gannavaram,0.235,0.326
Ghantasala,0.21,0.268
Gudivada,0.314,0.325
Gudlavalleru,0.284,0.37
Guduru,0.287,0.309
Ibrahimpatnam,0.213,0.282
Jaggayyapeta,0.229,0.37
Kaikalur,0.185,0.187
Kalidindi,0.184,0.211
Kanchikacherla,0.264,0.303
Kankipadu,0.3,0.422
Koduru,0.098,0.105
Kruthivennu,0.209,0.166
Machilipatnam,0.137,0.152
Mandavalli,0.242,0.173
Mopidevi,0.173,0.192
Movva,0.314,0.264
Mudinepalle,0.27,0.3
Musunuru,0.308,0.331
Mylavaram,0.226,0.311
Nagayalanka,0.12,0.072
Nandigama,0.286,0.415
Nandivada,0.213,0.217
Nuzvid,0.287,0.307
Pamarru,0.349,0.293
Pamidimukkala,0.402,0.271
Pedana,0.243,0.328
Pedaparupudi,0.37,0.381
Penamaluru,0.254,0.342
Penuganchiprolu,0.27,0.398
Reddigudem,0.249,0.349
Thotlavalluru,0.327,0.283
Tiruvuru,0.39,0.322
Unguturu,0.286,0.41
Vatsavai,0.254,0.364
Veerullapadu,0.317,0.412
Vijayawada (Rural),0.218,0.368
Vijayawada (Urban),0.153,0.286
Vissannapet,0.375,0.344
Vuyyuru,0.433,0.404
