SUB_DISTRICT,2017-11-17,2018-11-17
Achampet,0.5117074671805014,0.33435172208798797
Amangal,0.5561423557519353,0.2923219136748355
Amrabad,0.6069229398212089,0.3203579318423984
Balmoor,0.5399157625937993,0.30212058529968105
Bijinapalle,0.6021953547011107,0.33240155889508
Kalwakurthy,0.5212324772333653,0.317724606594616
Kodari,0.5504769827421597,0.44047143549161927
Kollapur,0.6449284974233938,0.43159892082690204
Lingal,0.6956611028688345,0.40846270472522167
Madgul,0.592944150950427,0.2474789882629494
Nagarkurnood,0.5627378689360026,0.2978895427041253
Peddakothapalle,0.562129413343048,0.3771055419932875
Tadoor,0.5984451138015515,0.3290874687555954
Talakondapale,0.5753166010145468,0.38841784230405146
Telkapalle,0.5926016842864456,0.3261226960724465
Thimmajipet,0.5915607753837128,0.34465571825815194
Uppununthala,0.5267979491728874,0.3505808861020241
Vangoor,0.5260703687135265,0.2839942644613802
Veldanda,0.5205699548019938,0.27409794389761727
