SUB_DISTRICT,2017-10-28,2018-10-28
Anumula,0.6986777774117888,0.5909440786887666
Chandam Pet,0.6437186149382924,0.3750645268009287
Chandur,0.776352593324961,0.4594689209381457
Chintha Palle,0.68309171055599,0.4303659056057743
Chityala,0.7142732227141685,0.46737056918574393
Dameracherla,0.645299725127519,0.5649423698098958
Devarakonda,0.6505884770514726,0.4078943291964675
Gundla Palle,0.6402401429667736,0.46749629704275336
Gurrampode,0.730082722291366,0.49148473963675926
Kangal,0.6857771198613121,0.5472969385584155
Kattangaur,0.6510433896139756,0.4960141574557856
Kethe Palle,0.7147394461952894,0.5884951498237574
Marriguda,0.7312784949228281,0.40716931302880033
Miryalaguda,0.6988626166920128,0.7097694389654077
Munugode,0.7421026067904717,0.4654588341026841
Nakrekal,0.6854055432522956,0.5358892585740468
Nalgonda,0.6467351054853215,0.5001249312017251
Nampalle,0.7210297552916771,0.43371733754533487
Narayanapur,0.7356399100052922,0.47932948886371485
Narketpalle,0.6813662266397624,0.4798736493163534
Nidamanoor,0.7017484762347354,0.6653506120861085
Pedda Adiserla Palle,0.6638736143838889,0.5160195781307972
Peddavoora,0.6594971598149852,0.48759908799679014
Sali Gouraram,0.7031501324099774,0.596151089936838
Thipparthi,0.6812058649154054,0.5065841174141041
Thripuraram,0.6855698761189206,0.6816096124718701
Vemulapalle,0.692613340358573,0.6006360628986682
