SUB_DISTRICT,2017-09-26,2018-09-26
Bhainsa,0.5485111916741928,0.6618777586715332
Dilawarpur,0.4731994454313895,0.7167384239209171
Kaddam (Peddur),0.5258516062138805,0.7419743103486188
Khanapur,0.5766154393397921,0.7980279959041217
Kubeer,0.631742941082924,0.7404013221134842
Kuntala,0.582339891845897,0.731292173833294
Laxmanchanda,0.5084835653129263,0.7278272349723723
Lokeswaram,0.4991088567108207,0.6563202647933083
Mamda,0.5569112652403606,0.7493630632492475
Mudhole,0.5425071932973002,0.7018792870584271
Nirmal,0.4741964767734311,0.6603186219175252
Sarangapur,0.5478815584660187,0.7067003172144074
Tanoor,0.6095684340585732,0.6977928221938837
