SUB_DISTRICT,2017-11-05
Bantwaram,0.7333809917118165
Basheerabad,0.6965531075573188
Chevella,0.6179592354767994
Dharur,0.7007674130325152
Gandeed,0.6295254844231469
Kulkacharla,0.6402701612043161
Marpalle,0.7000298394384853
Moinabad,0.598716483822268
Mominpet,0.6821608078374201
Nawabpet,0.678439420960187
Pargi,0.6666898033971629
Peddemul,0.7223185018114395
Pudur,0.7134827081593811
Shabad,0.6415764062815122
Shankarpalle,0.6133919853568017
Tandur,0.6834622035383249
Vicarabad,0.6693263207053467
Yelal,0.6750172312166417
doma,0.6288637869421441
