SUB_DISTRICT,2017-10-24,2018-10-24
Amadalavalasa,0.7829407559622703,0.7110252166278713
Bhamini,0.8494589684435984,0.7076249996025737
Burja,0.76175459817169,0.6656013974873688
Etcherla,0.7743820092174064,0.6967188653618273
G. Sigadam,0.7698979700635245,0.6987931686159442
Gara,0.7927155008240355,0.7049518894859723
Hiramandalam,0.7837106024768185,0.5890835849661762
Ichchapuram,0.8064756789835272,0.6183389851380726
Jalumuru,0.7369288872409344,0.626016488946281
Kanchili,0.8355720832274623,0.6673763672852514
Kaviti,0.8401697162260051,0.632965018031841
Kotabommali,0.7946725685908268,0.6565075504189103
Kothuru,0.7947330198020341,0.6184529161513046
Lakshminarsnpeta,0.7957553307526701,0.6507892598804919
Laveru,0.7263924154326153,0.6719200561890295
Mandasa,0.845032197315772,0.5859277100281646
Melianutti,0.8466076854917929,0.6409018801258382
Nandigam,0.8251978312811861,0.6399994643739307
Narasannapeta,0.7794129358280182,0.6663874388444468
Palakonda,0.7929988385231498,0.6607694706324553
Palasa,0.8105825433698741,0.5988761412646252
Pathapatnam,0.8189404120759506,0.6169086800789256
Polaki,0.7825492815801893,0.6869635538485379
Ponduru,0.7644609187422727,0.698695619741625
Rajam,0.7540039982838912,0.6876904151132242
Ranastalam,0.7554078391867726,0.6712016594606993
Regidi Amadalavalsa,0.7470990386072489,0.673560453601847
Santha Bommali,0.7658528193389409,0.5732358971220849
Santhakaviti,0.8038906631167098,0.7317826512211209
Saravakota,0.8176478323803007,0.6349842625558126
Sarubujjili,0.7789558014222916,0.639158706517214
Seethampeta,0.8550491008085748,0.7416483490932487
Sompeta,0.839462117991017,0.6362585182710948
Srikakulam,0.7570033049282126,0.6709549600123387
Tekkali,0.8093904431824844,0.6221546014597049
Vajrapukothuru,0.8419389019628559,0.529929700328137
Vangara,0.6768128690734407,0.6600904019477832
Veeraghattam,0.7533708510518239,0.6784861787792422
