SUB_DISTRICT,2017-10-28,2018-10-28
Basoda,0.3256549234023944,0.31014146206578413
Gulabganj,0.29827437931623346,0.29948648277866363
Gyaraspur,0.4619907690375263,0.4384624039204849
Kurwal,0.3150422392817408,0.30064455991737626
Lateri,0.4050043567609926,0.40518419032238234
Nateran,0.3196833820583021,0.30323769899571457
Shamshabad,0.45038405457994724,0.3904755548192664
Sironj,0.35654373415324286,0.33434405698496783
Tyonda,0.39175678904921013,0.3512719241564659
Vidisha,0.34051958418878264,0.3364736414913402
