SUB_DISTRICT,2017-11-05,2018-11-05
Atmakur,0.7130348519528662,0.6270779647815004
Chennaraopet,0.6874658533573276,0.311135937142734
Duggondi,0.7018866409640465,0.5479112166753998
Geesugonda,0.6822652293700519,0.5304759535575492
Hasanparthy,0.6104571510251153,0.5919830852680106
Khanapur,0.7185408664947854,0.4289343455419895
Nallabelly,0.6709017237386794,0.49061013606329795
Narsampet,0.680677010795913,0.42619453847728517
Nekkonda,0.6837269178175966,0.36755353880216507
Parkal,0.7097898057363922,0.7176714488018813
Parvathagiri,0.665587154038781,0.39295778796417746
Sangam,0.6744547199229131,0.5234610059706242
Shayampet,0.6989475314393628,0.6981133613533582
Warangal,0.5647808170513255,0.42421496311543105
Wardhannapet,0.6544917260598637,0.561116008589414
