SUB_DISTRICT,2017-11-17,2018-11-17
Alwar,5.663148104211466,4.309372773972617
Bansur,8.237294725740874,7.233503861412635
Behror,5.045077767706462,4.336935558214684
Kathumar,6.308332010447671,5.1631803265890595
Kishangarh bas,6.411087330684569,5.550626454311511
Kotkasim,5.426158452442229,4.633863488944815
Lachhmangarh,5.802107667974504,5.030046880588751
Mandawar,5.373613958390525,4.57878700552873
Rajgarh,6.731809119177289,5.617022458755243
Ramgarh,5.832662305694681,5.720089724879652
Thanagazi,8.151771807248434,6.720660780272234
Tijara,4.968465261762835,4.82986567550629
