SUB_DISTRICT,2017-10-20,2018-10-20
Asind,5.898494564823856,5.313358044269089
Banera,5.436866346136839,5.47631980430925
Beejoliya,4.33021506735156,3.8478258824677622
Bhilwara,5.217724230120686,4.986102318510791
Hurda,6.288677696839207,6.186858309825183
Jahazpur,5.050937703104724,4.729854108410464
Kotri,6.888920885401813,6.740033414985029
Mandal,5.765722855341052,5.085351866550055
Mandalgarh,4.430222172105471,4.316469783339994
Raipur,5.947255791227024,4.508406382302444
Sahara,6.6119046529047845,5.501460036348583
Shahpura,4.723406803764256,4.816162888124662
