SUB_DISTRICT,2017-10-20,2018-10-20
Amaravathi,16.305345187529674,18.088557486933336
Atchampet,17.359616441241762,17.417722956608916
Bapatla,15.513590798313151,16.97937403282494
Bellamkonda,17.362429617615298,16.76812172814548
Bhattiprolu,17.23083383537495,15.379104225109833
Bollapalle,17.51774014322299,12.794673537637022
Chebrolu,18.31215101048566,17.92994991108991
Chenukupalle,19.193788528442383,17.90595245361328
Chilakaluripet,16.922826766967773,19.347444534301758
Dachepalle,16.48825258421592,14.422436875639818
Duggirala,17.395767211914062,14.880816459655762
Durgi,17.17980288506219,11.415155805933066
Edlapadu,16.743267480659778,20.121876061918567
Guntur,16.25825226295193,22.16713885454536
Gurazala,16.402713469189152,14.394900280172413
Hrathipadu,16.71493003565237,21.627157386289827
Ipur,16.292878154081464,18.421021379358635
Kakumanu,16.756549375603,21.661879941641565
Karempudi,18.486445126144794,15.280310284414712
Karlapalem,2.6192730320324684,2.4815798667991684
Kollipara,17.050756800993703,14.708630126487202
Kollur,17.123782636741435,15.241300671832926
Krosuru,17.225895381689625,17.83721894314878
Machavaram,17.562931060791016,14.99295425415039
Macherla,16.069006904822974,11.913253283145233
Mangalagiri,17.355745804712736,15.03395079239225
Medikondurn,15.971344182504476,21.661030432137338
Muppalla,15.261895179748535,19.599773406982422
Nadendla,16.746379200132143,19.374250464160326
Nagaram,10.407480583839982,9.610826439773941
Narasaraopet,16.425086984959478,20.177389684740685
Nekarikallu,15.537659128619868,22.98777021467686
Nizampatam,1.1685429634871307,1.12826943467235
Nuzendla,17.51648225270841,14.543553487413174
Pedakalani,17.041719031333923,17.04248416274786
Pedakurapadu,16.218207154181613,19.05707345043888
Pedanandipadu,16.751201709948088,21.22941663523576
Phirangipuram,15.421633867584926,20.025020901037717
Pidugurallu,16.583663995120688,19.372840840329406
Pittalavantpalem,10.247121572731976,9.580114840748776
Ponnur,18.77566399423268,18.536701998912836
Rajupalem,15.46033573418973,22.12436418849964
Rentachintala,16.430069288640166,14.010724708143593
Repalle,5.536374935347546,4.9443938504624105
Rompicherla,16.029902071211655,23.498492780053144
Sattenapalle,15.422520191256055,19.45562355875119
Savalyapuram,16.23297119140625,23.483850479125977
Tadepalle,17.144306567999035,15.310656568178768
Tadikonda,16.2441516409895,21.912091643633488
Tenali,18.365288510042085,16.51201724071129
Tsundur,19.193788528442383,17.90595245361328
Vatticherukuru,16.725669006941676,21.62807740878982
Veldurthi,14.943323159386251,7.936723882792287
Vemuru,19.167868125901425,17.872585955917724
Vinukonda,16.366317600250248,13.749252493540448
amruthalur,19.193788528442383,17.90595245361328
thullur,16.285069240939723,17.811249380679303
