SUB_DISTRICT,2017-09-30,2018-09-30
Amber,4.066031027704361,10.8110287168608
Bassi,3.7631807091481875,9.860796688626865
Chaksu,8.074648752580318,12.8638147591379
Chomu,4.9998997100261215,10.258646904015544
Jaipur,3.7915520551143014,7.9179965980667495
Jamwa ramgarh,5.584401655193196,13.601326635257502
Kotputli,4.863853144438371,14.66814101467962
Mauzamabad,4.921870958611406,9.715140344176403
Phagi,5.851497435148758,11.275640611317822
Phulera (sambhar),6.241729814298638,10.884156148526099
Sanganer,5.157173740975919,9.054123451905737
Shahpura,5.664634601458647,11.657052522203527
Viratnagar,4.670049099635173,15.124872080921415
