SUB_DISTRICT,2017-10-20,2018-10-20
Asifabad,13.416436453254855,7.1341365570924715
Bejjur,12.753792356104316,6.098060523567511
Bellampalle,14.367753972505271,8.427742972241099
Bhimini,13.631999969482422,7.729777812957764
Chennur,13.938337049844854,7.205160091248745
Dahegaon,11.79645271446684,5.6312337985032705
Dandepalle,21.38603235352529,11.933255816975686
Jaipur,14.198836712514387,7.8872610937874255
Jannaram,19.042022886450386,12.163915573773238
Kagaznagar,11.793262441620664,5.83509405260767
Kasipet,15.384476048270217,9.351403875975105
Kerameri,14.766335155877277,8.19470885511957
Kotapalle,12.882863130467294,5.971837005617456
Kouthala,13.132345786508056,7.1437865784524845
Luxettipet,18.22831484211988,9.310706037162726
Mancherial,16.051221857129562,7.706886120119728
Mandamarri,15.334363919854963,7.8345020483756125
Nennal,13.737538541801248,7.738537340228281
Rebbana,14.098670195629245,8.123529357715457
Sirpur,11.540376016158774,5.705528647020177
Tandur,14.990680513136528,9.027352496543353
Tiryani,18.610481102479053,10.780291140757864
Vemanpalle,11.254648670678298,4.930930082260152
Wankdi,12.324728700641314,7.007548683620706
