SUB_DISTRICT,2017-10-20,2018-10-20
A.Konduru,14.482578666089717,11.37223432321249
Agiripalle,16.95366819335444,16.683595248631065
Avanigadda,13.958242620789695,12.349080339632394
Bantumilli,13.044546255037732,9.557232850286843
Bapulapadu,16.797960112758123,16.597255319284407
Challapalle,16.8943013883291,14.600506968034475
Chandarlapadu,17.08431347744215,17.570985431139327
Chatrai,17.635815584905178,9.233074968099217
G.Konduru,16.48216220501222,15.61844801353781
Gampalagudem,13.81172742331074,12.14222231326949
Gannavaram,17.070758053243072,17.030811588225067
Ghantasala,16.880722167843683,14.707535256714117
Gudivada,18.458505663297693,13.833641736454698
Gudlavalleru,19.64731216430664,14.304498672485352
Guduru,17.392344005890582,13.702496103006842
Ibrahimpatnam,16.422695674694573,16.81239642682975
Jaggayyapeta,17.35473611604728,14.458069543662896
Kaikalur,17.516184223124764,13.2024017556688
Kalidindi,11.791371877908034,8.81771476147434
Kanchikacherla,16.03069496154785,17.884641647338867
Kankipadu,15.479241224016464,13.688741654376596
Koduru,16.648454870682595,13.431817506831848
Kruthivennu,0.6350000500679016,0.6350000500679016
Machilipatnam,16.660840325212472,13.246291319533965
Mandavalli,14.569369494810621,11.36552597553634
Mopidevi,16.8747449452105,14.754646349001954
Movva,16.51588324463429,14.060695470912243
Mudinepalle,19.287877331936482,14.078755455687727
Musunuru,16.33681283496362,10.488599083229468
Mylavaram,15.189433552536794,12.529632283637836
Nagayalanka,0.6350000500679016,0.6350000500679016
Nandigama,18.31270190835886,16.803318411333528
Nandivada,14.881760838520096,12.577795325129863
Nuzvid,16.48347666573027,12.737202294175868
Pamarru,15.859533540292645,12.881320274586457
Pamidimukkala,15.117132273137436,13.114078669480874
Pedana,19.377883845492754,14.232570144532138
Pedaparupudi,14.680744857213368,12.933318841255314
Penamaluru,17.17390585906432,15.260060330590159
Penuganchiprolu,18.252582082267175,15.766188644806585
Reddigudem,15.121716811106756,11.94667846728594
Thotlavalluru,15.006625614040184,12.874453803972887
Tiruvuru,13.60988998413086,10.152052879333496
Unguturu,16.594221516595162,16.330148319822815
Vatsavai,16.361076471775682,13.983279806208817
Veerullapadu,17.71897028476119,17.49604280078788
Vijayawada (Rural),16.68415069580078,16.09723472595215
Vijayawada (Urban),16.68415069580078,16.09723472595215
Vissannapet,15.636199975559249,10.09475324612768
Vuyyuru,14.32525634765625,12.302250862121582
