SUB_DISTRICT,2017-11-17,2018-11-17
Achampet,7.818951237826309,6.701059295049345
Amangal,7.7428233890238,5.530644132676511
Amrabad,7.456168390380253,7.321379262711562
Balmoor,8.584521488988033,7.523292571159129
Bijinapalle,10.475733544136103,7.617061480519749
Kalwakurthy,9.11813663297848,7.640314238958137
Kodari,10.603577810213615,9.724617366312849
Kollapur,9.380673558680789,8.72286449568635
Lingal,8.60296993402802,7.675291862769369
Madgul,7.511752850760517,5.457895158677792
Nagarkurnood,11.634516008388047,10.843251077876094
Peddakothapalle,11.236477160310423,10.752331998182093
Tadoor,9.125347137451172,7.617067813873291
Talakondapale,7.068792778434741,4.486388231735924
Telkapalle,12.174225957363282,11.5989482681616
Thimmajipet,10.07853184956961,7.222965296068341
Uppununthala,8.761472018697305,7.551218300431561
Vangoor,9.03195662234395,7.752537045608369
Veldanda,8.529289225434228,6.873768072059687
