SUB_DISTRICT,2017-10-24,2018-10-24
Anumula,14.405819565278511,8.421601446911138
Chandam Pet,14.718900828651527,9.255106217115909
Chandur,16.429207427570713,7.066224942494078
Chintha Palle,16.58311774572816,8.024348889142022
Chityala,14.666056789743342,5.57304068715711
Dameracherla,12.535754916610983,11.245863521058405
Devarakonda,17.088441290859024,9.060938007935759
Gundla Palle,17.61465388021248,9.533404979585178
Gurrampode,20.009678991186885,7.16052089551035
Kangal,17.235847516682654,6.299065790937361
Kattangaur,14.704798753759574,8.833268046739967
Kethe Palle,14.673499771871121,8.38377240438382
Marriguda,16.02229135686701,8.141554138877176
Miryalaguda,14.613459886618895,7.226977767371773
Munugode,14.865948338569693,5.816249116165978
Nakrekal,14.859927636628642,9.003867784929616
Nalgonda,14.81382064704952,6.928038939543214
Nampalle,16.941219854477435,7.7410433001260825
Narayanapur,15.549261093139648,8.443289756774902
Narketpalle,13.58757765388564,5.393800301538588
Nidamanoor,14.793644159207366,6.817677229156385
Pedda Adiserla Palle,15.42245128259977,7.822784337083799
Peddavoora,14.074688695928678,9.902287750726657
Sali Gouraram,11.743299255004292,5.576421031585105
Thipparthi,15.042764173446981,8.931797200004587
Thripuraram,14.682660444839035,7.031960766373445
Vemulapalle,14.550556206489313,7.532611279852215
