SUB_DISTRICT,2017-09-22,2018-09-22
Bantwaram,16.392593464452812,14.798217314335707
Basheerabad,17.51852201927256,12.391669588564572
Chevella,17.281958446614155,18.429834260395783
Dharur,15.256330959431882,14.858481323865615
Gandeed,11.027157660200016,12.77396408812158
Kulkacharla,11.641380216636607,12.241433050481794
Marpalle,18.202263175530735,15.358983901872154
Moinabad,17.755806954885923,16.355701567231268
Mominpet,16.558973359848487,15.753923363975206
Nawabpet,15.764278992238586,16.81934015313852
Pargi,13.510470374984074,11.247366241054499
Peddemul,17.876417078060697,13.853765390501337
Pudur,13.702531471747493,14.37333438079811
Shabad,10.863784020638844,16.321887702805665
Shankarpalle,17.6309688324169,18.446906435233213
Tandur,17.97650847175571,14.435079891978091
Vicarabad,14.707968999391936,15.628891396661384
Yelal,19.228300552148237,19.31516359389287
doma,13.509433473508851,11.230797254364273
