SUB_DISTRICT,2017-11-17,2018-11-17
Amadalavalasa,22.694368362426758,16.051424026489258
Bhamini,20.55235944506148,10.668798265591473
Burja,21.09961814659503,13.61547365653998
Etcherla,22.5908219358174,15.806769924301888
G. Sigadam,19.912996292114258,9.479743003845215
Gara,9.771438310114645,7.02009702369092
Hiramandalam,19.998328485868566,11.86563231403431
Ichchapuram,20.367277145385742,8.814419746398926
Jalumuru,14.785128570174514,9.432011134248889
Kanchili,20.50236802159843,9.258140254770845
Kaviti,20.367277145385742,8.814419746398926
Kotabommali,10.411071085555541,6.432757699403209
Kothuru,20.397600600553297,11.080407063810327
Lakshminarsnpeta,19.816162109375,11.777473449707031
Laveru,19.62682939734301,9.308181070610694
Mandasa,21.33284764778785,11.665610448002422
Melianutti,20.804622326914966,10.849243931336835
Nandigam,5.597727779407598,3.5423817399758186
Narasannapeta,11.570266676505716,8.277227344216078
Palakonda,20.03446941392161,10.107427206869069
Palasa,19.857104198268583,10.877774043170811
Pathapatnam,20.755603922515355,11.175256256295851
Polaki,0.6350000500679016,0.6350000500679016
Ponduru,21.68713150114313,13.671577246097346
Rajam,19.915916337891936,9.493017604983306
Ranastalam,18.874576568603516,8.384498596191406
Regidi Amadalavalsa,20.007898056867013,10.005638731899483
Santha Bommali,7.368446302494722,4.628310795732759
Santhakaviti,20.86602356130992,11.742447781640468
Saravakota,20.90025646514313,12.638749053723009
Sarubujjili,21.08684181089611,13.664350819062799
Seethampeta,20.15531975554041,10.57603458573862
Sompeta,21.338808059692383,11.66732120513916
Srikakulam,22.694368362426758,16.051424026489258
Tekkali,18.344320247618995,11.13761876746132
Vajrapukothuru,4.123494346360428,2.4938942885791247
Vangara,20.04065704345703,10.060091972351074
Veeraghattam,20.108507627921405,9.898942791241408
